Q(1/nm) MG2_norm_minus_branco1_norm.dat 
1.4782927E+00 1.4512684E+06 
1.4863889E+00 1.4684431E+06 
1.4944851E+00 1.5086741E+06 
1.5025815E+00 1.5208166E+06 
1.5106777E+00 1.5553246E+06 
1.5187740E+00 1.5802435E+06 
1.5268703E+00 1.5615131E+06 
1.5349665E+00 1.5838195E+06 
1.5430628E+00 1.6101986E+06 
1.5511590E+00 1.5657126E+06 
1.5592554E+00 1.5616849E+06 
1.5673516E+00 1.5415835E+06 
1.5754479E+00 1.5607522E+06 
1.5835441E+00 1.5696588E+06 
1.5916404E+00 1.5858149E+06 
1.5997367E+00 1.6219238E+06 
1.6078329E+00 1.6128601E+06 
1.6159292E+00 1.5682549E+06 
1.6240255E+00 1.5670155E+06 
1.6321217E+00 1.5197864E+06 
1.6402180E+00 1.5294710E+06 
1.6483142E+00 1.5391305E+06 
1.6564106E+00 1.5490954E+06 
1.6645068E+00 1.5119992E+06 
1.6726030E+00 1.4998865E+06 
1.6806993E+00 1.5660869E+06 
1.6887956E+00 1.5408230E+06 
1.6968919E+00 1.5402624E+06 
1.7049881E+00 1.5384811E+06 
1.7130843E+00 1.5148868E+06 
1.7211807E+00 1.5618338E+06 
1.7292769E+00 1.5491844E+06 
1.7373732E+00 1.5283700E+06 
1.7454695E+00 1.5543686E+06 
1.7535657E+00 1.5366720E+06 
1.7616620E+00 1.5154549E+06 
1.7697582E+00 1.5273961E+06 
1.7778546E+00 1.5244416E+06 
1.7859508E+00 1.4545341E+06 
1.7940470E+00 1.4671795E+06 
1.8021433E+00 1.4922765E+06 
1.8102396E+00 1.4498141E+06 
1.8183359E+00 1.4585928E+06 
1.8264321E+00 1.4508711E+06 
1.8345284E+00 1.4667056E+06 
1.8426247E+00 1.5034605E+06 
1.8507209E+00 1.4655978E+06 
1.8588172E+00 1.4578910E+06 
1.8669134E+00 1.4474696E+06 
1.8750098E+00 1.4696961E+06 
1.8831060E+00 1.4535781E+06 
1.8912022E+00 1.4324394E+06 
1.8992985E+00 1.4606328E+06 
1.9073948E+00 1.4667362E+06 
1.9154911E+00 1.4464639E+06 
1.9235873E+00 1.4368444E+06 
1.9316835E+00 1.3943136E+06 
1.9397799E+00 1.4101365E+06 
1.9478761E+00 1.4199864E+06 
1.9559724E+00 1.4246100E+06 
1.9640687E+00 1.4245629E+06 
1.9721649E+00 1.4288380E+06 
1.9802612E+00 1.4388588E+06 
1.9883574E+00 1.4121815E+06 
1.9964538E+00 1.4091715E+06 
2.0045500E+00 1.4345041E+06 
2.0126462E+00 1.4215461E+06 
2.0207424E+00 1.4438671E+06 
2.0288386E+00 1.4524991E+06 
2.0369351E+00 1.4552234E+06 
2.0450313E+00 1.4091638E+06 
2.0531275E+00 1.4159106E+06 
2.0612240E+00 1.3839931E+06 
2.0693202E+00 1.4092925E+06 
2.0774164E+00 1.3744259E+06 
2.0855126E+00 1.4072498E+06 
2.0936089E+00 1.4024578E+06 
2.1017051E+00 1.4180991E+06 
2.1098013E+00 1.4078145E+06 
2.1178977E+00 1.3926139E+06 
2.1259940E+00 1.3994949E+06 
2.1340902E+00 1.3513418E+06 
2.1421864E+00 1.3323035E+06 
2.1502829E+00 1.3699250E+06 
2.1583791E+00 1.3350882E+06 
2.1664753E+00 1.3540399E+06 
2.1745715E+00 1.3461632E+06 
2.1826677E+00 1.3138105E+06 
2.1907642E+00 1.3359970E+06 
2.1988604E+00 1.3512381E+06 
2.2069566E+00 1.3064806E+06 
2.2150528E+00 1.3295372E+06 
2.2231493E+00 1.3019132E+06 
2.2312455E+00 1.2940986E+06 
2.2393417E+00 1.2917560E+06 
2.2474380E+00 1.3019902E+06 
2.2555342E+00 1.3014860E+06 
2.2636306E+00 1.2960771E+06 
2.2717268E+00 1.2832128E+06 
2.2798231E+00 1.2689189E+06 
2.2879193E+00 1.2858425E+06 
2.2960155E+00 1.2827569E+06 
2.3041120E+00 1.2940588E+06 
2.3122082E+00 1.2258230E+06 
2.3203044E+00 1.2253589E+06 
2.3284006E+00 1.2384315E+06 
2.3364968E+00 1.2303245E+06 
2.3445933E+00 1.2617359E+06 
2.3526895E+00 1.2756301E+06 
2.3607857E+00 1.2716414E+06 
2.3688819E+00 1.2752292E+06 
2.3769782E+00 1.2245490E+06 
2.3850746E+00 1.1959361E+06 
2.3931708E+00 1.2666975E+06 
2.4012671E+00 1.1976986E+06 
2.4093633E+00 1.1742566E+06 
2.4174595E+00 1.2200152E+06 
2.4255559E+00 1.2459640E+06 
2.4336522E+00 1.2395881E+06 
2.4417484E+00 1.2086021E+06 
2.4498446E+00 1.2231279E+06 
2.4579408E+00 1.1941119E+06 
2.4660373E+00 1.1984962E+06 
2.4741335E+00 1.2108118E+06 
2.4822297E+00 1.2312545E+06 
2.4903259E+00 1.1873352E+06 
2.4984221E+00 1.1784921E+06 
2.5065186E+00 1.2418792E+06 
2.5146148E+00 1.1806619E+06 
2.5227110E+00 1.1314478E+06 
2.5308073E+00 1.1660596E+06 
2.5389035E+00 1.2178742E+06 
2.5469999E+00 1.2075981E+06 
2.5550961E+00 1.1743520E+06 
2.5631924E+00 1.2001730E+06 
2.5712886E+00 1.1794922E+06 
2.5793848E+00 1.1683560E+06 
2.5874813E+00 1.1941184E+06 
2.5955775E+00 1.1995738E+06 
2.6036737E+00 1.1899864E+06 
2.6117699E+00 1.1372199E+06 
2.6198661E+00 1.1411818E+06 
2.6279626E+00 1.1721712E+06 
2.6360588E+00 1.1774120E+06 
2.6441550E+00 1.1746425E+06 
2.6522512E+00 1.1856394E+06 
2.6603475E+00 1.1787010E+06 
2.6684439E+00 1.1520539E+06 
2.6765401E+00 1.1824284E+06 
2.6846364E+00 1.1612778E+06 
2.6927326E+00 1.1756435E+06 
2.7008288E+00 1.1400095E+06 
2.7089252E+00 1.1540784E+06 
2.7170215E+00 1.1452999E+06 
2.7251177E+00 1.1418750E+06 
2.7332139E+00 1.1826728E+06 
2.7413104E+00 1.1968061E+06 
2.7494066E+00 1.1676354E+06 
2.7575028E+00 1.1878822E+06 
2.7655990E+00 1.1472119E+06 
2.7736952E+00 1.1764278E+06 
2.7817917E+00 1.1483974E+06 
2.7898879E+00 1.1625481E+06 
2.7979841E+00 1.1639105E+06 
2.8060803E+00 1.1826566E+06 
2.8141766E+00 1.1637520E+06 
2.8222730E+00 1.1460002E+06 
2.8303692E+00 1.1534622E+06 
2.8384655E+00 1.1593551E+06 
2.8465617E+00 1.1868230E+06 
2.8546579E+00 1.1590009E+06 
2.8627543E+00 1.1389492E+06 
2.8708506E+00 1.1269232E+06 
2.8789468E+00 1.1564636E+06 
2.8870430E+00 1.1683740E+06 
2.8951392E+00 1.1607465E+06 
2.9032357E+00 1.1716462E+06 
2.9113319E+00 1.1680871E+06 
2.9194281E+00 1.1949758E+06 
2.9275243E+00 1.1425974E+06 
2.9356205E+00 1.1169869E+06 
2.9437170E+00 1.1767018E+06 
2.9518132E+00 1.1824446E+06 
2.9599094E+00 1.1673869E+06 
2.9680057E+00 1.1639219E+06 
