Q(1/nm) CTAB200_norm_minus_branco1_norm.dat 
1.4782927E+00 1.3568781E+06 
1.4863889E+00 1.3582380E+06 
1.4944851E+00 1.3836045E+06 
1.5025815E+00 1.4253760E+06 
1.5106777E+00 1.3879974E+06 
1.5187740E+00 1.3961106E+06 
1.5268703E+00 1.3773372E+06 
1.5349665E+00 1.4050961E+06 
1.5430628E+00 1.3954165E+06 
1.5511590E+00 1.3871186E+06 
1.5592554E+00 1.4069216E+06 
1.5673516E+00 1.3803684E+06 
1.5754479E+00 1.3948122E+06 
1.5835441E+00 1.3935656E+06 
1.5916404E+00 1.3823544E+06 
1.5997367E+00 1.3680656E+06 
1.6078329E+00 1.4057268E+06 
1.6159292E+00 1.4145762E+06 
1.6240255E+00 1.4032140E+06 
1.6321217E+00 1.4418484E+06 
1.6402180E+00 1.4019239E+06 
1.6483142E+00 1.4032594E+06 
1.6564106E+00 1.4071251E+06 
1.6645068E+00 1.4057719E+06 
1.6726030E+00 1.4467008E+06 
1.6806993E+00 1.4330489E+06 
1.6887956E+00 1.4177029E+06 
1.6968919E+00 1.4212751E+06 
1.7049881E+00 1.4300938E+06 
1.7130843E+00 1.4116964E+06 
1.7211807E+00 1.3937232E+06 
1.7292769E+00 1.4014310E+06 
1.7373732E+00 1.3750541E+06 
1.7454695E+00 1.4420515E+06 
1.7535657E+00 1.4525618E+06 
1.7616620E+00 1.3817556E+06 
1.7697582E+00 1.3607706E+06 
1.7778546E+00 1.3716516E+06 
1.7859508E+00 1.3606380E+06 
1.7940470E+00 1.3743189E+06 
1.8021433E+00 1.3734032E+06 
1.8102396E+00 1.3444244E+06 
1.8183359E+00 1.3417012E+06 
1.8264321E+00 1.3925312E+06 
1.8345284E+00 1.3912504E+06 
1.8426247E+00 1.3779170E+06 
1.8507209E+00 1.3673529E+06 
1.8588172E+00 1.3233226E+06 
1.8669134E+00 1.3093194E+06 
1.8750098E+00 1.3405494E+06 
1.8831060E+00 1.3395349E+06 
