Q(1/nm) CTAB100Ur38_norm_minus_branco1_norm.dat 
1.4782927E+00 1.2007286E+06 
1.4863889E+00 1.2361076E+06 
1.4944851E+00 1.2083466E+06 
1.5025815E+00 1.2103188E+06 
1.5106777E+00 1.2183706E+06 
1.5187740E+00 1.1944098E+06 
1.5268703E+00 1.2374091E+06 
1.5349665E+00 1.2672920E+06 
1.5430628E+00 1.2389438E+06 
1.5511590E+00 1.2396562E+06 
1.5592554E+00 1.2546300E+06 
1.5673516E+00 1.2876769E+06 
1.5754479E+00 1.2899768E+06 
1.5835441E+00 1.2750086E+06 
1.5916404E+00 1.3024978E+06 
1.5997367E+00 1.2461565E+06 
1.6078329E+00 1.2484591E+06 
1.6159292E+00 1.2980565E+06 
1.6240255E+00 1.2686880E+06 
1.6321217E+00 1.2494765E+06 
1.6402180E+00 1.2887762E+06 
1.6483142E+00 1.3019461E+06 
1.6564106E+00 1.2805596E+06 
1.6645068E+00 1.2845841E+06 
1.6726030E+00 1.2837585E+06 
1.6806993E+00 1.2780479E+06 
1.6887956E+00 1.2864161E+06 
1.6968919E+00 1.2937888E+06 
1.7049881E+00 1.2938012E+06 
1.7130843E+00 1.3003064E+06 
1.7211807E+00 1.2766645E+06 
1.7292769E+00 1.2586541E+06 
1.7373732E+00 1.2676051E+06 
1.7454695E+00 1.2611059E+06 
1.7535657E+00 1.2522424E+06 
1.7616620E+00 1.2634761E+06 
1.7697582E+00 1.2723031E+06 
1.7778546E+00 1.2980799E+06 
1.7859508E+00 1.2924915E+06 
1.7940470E+00 1.2717212E+06 
1.8021433E+00 1.2719530E+06 
1.8102396E+00 1.2680121E+06 
1.8183359E+00 1.2496229E+06 
1.8264321E+00 1.2601082E+06 
1.8345284E+00 1.2473994E+06 
1.8426247E+00 1.2670182E+06 
1.8507209E+00 1.2809594E+06 
1.8588172E+00 1.2613162E+06 
1.8669134E+00 1.2372939E+06 
1.8750098E+00 1.2132289E+06 
1.8831060E+00 1.2370502E+06 
1.8912022E+00 1.2350032E+06 
1.8992985E+00 1.2208495E+06 
1.9073948E+00 1.1936122E+06 
1.9154911E+00 1.2144331E+06 
1.9235873E+00 1.2112370E+06 
1.9316835E+00 1.2091081E+06 
1.9397799E+00 1.2091478E+06 
1.9478761E+00 1.2112332E+06 
1.9559724E+00 1.2160620E+06 
1.9640687E+00 1.1892445E+06 
1.9721649E+00 1.1780186E+06 
1.9802612E+00 1.1720120E+06 
1.9883574E+00 1.1692874E+06 
1.9964538E+00 1.1744999E+06 
2.0045500E+00 1.2024912E+06 
2.0126462E+00 1.1451350E+06 
2.0207424E+00 1.1616365E+06 
2.0288386E+00 1.1714999E+06 
2.0369351E+00 1.1230812E+06 
2.0450313E+00 1.1271805E+06 
2.0531275E+00 1.1402415E+06 
2.0612240E+00 1.1208036E+06 
2.0693202E+00 1.1314411E+06 
2.0774164E+00 1.1346229E+06 
2.0855126E+00 1.1236572E+06 
2.0936089E+00 1.1173829E+06 
2.1017051E+00 1.1000690E+06 
2.1098013E+00 1.1166632E+06 
2.1178977E+00 1.0766236E+06 
2.1259940E+00 1.0973868E+06 
2.1340902E+00 1.1139728E+06 
2.1421864E+00 1.1034604E+06 
2.1502829E+00 1.0725004E+06 
2.1583791E+00 1.0750836E+06 
2.1664753E+00 1.0861768E+06 
2.1745715E+00 1.1153030E+06 
2.1826677E+00 1.0905084E+06 
2.1907642E+00 1.0879495E+06 
2.1988604E+00 1.0681070E+06 
2.2069566E+00 1.0683294E+06 
2.2150528E+00 1.0823272E+06 
2.2231493E+00 1.0736009E+06 
2.2312455E+00 1.0395456E+06 
2.2393417E+00 1.0324398E+06 
2.2474380E+00 1.0369958E+06 
2.2555342E+00 1.0296472E+06 
2.2636306E+00 1.0225984E+06 
2.2717268E+00 1.0390751E+06 
2.2798231E+00 1.0395340E+06 
2.2879193E+00 1.0617669E+06 
2.2960155E+00 9.9747412E+05 
2.3041120E+00 9.9253812E+05 
2.3122082E+00 1.0491964E+06 
2.3203044E+00 1.0347424E+06 
2.3284006E+00 1.0213781E+06 
2.3364968E+00 1.0182517E+06 
2.3445933E+00 9.9433800E+05 
2.3526895E+00 9.9631950E+05 
2.3607857E+00 9.9109056E+05 
2.3688819E+00 9.5694756E+05 
2.3769782E+00 9.9007488E+05 
2.3850746E+00 9.7943900E+05 
2.3931708E+00 9.6556769E+05 
2.4012671E+00 9.6894844E+05 
2.4093633E+00 9.8284719E+05 
2.4174595E+00 9.6898444E+05 
2.4255559E+00 9.5357519E+05 
2.4336522E+00 9.6289419E+05 
2.4417484E+00 9.4672931E+05 
2.4498446E+00 9.4457056E+05 
2.4579408E+00 9.8167744E+05 
2.4660373E+00 9.7802688E+05 
2.4741335E+00 9.7876838E+05 
2.4822297E+00 9.4442331E+05 
2.4903259E+00 9.3715850E+05 
2.4984221E+00 9.5128256E+05 
2.5065186E+00 9.8200869E+05 
2.5146148E+00 9.5400956E+05 
2.5227110E+00 9.6430238E+05 
2.5308073E+00 9.7431025E+05 
2.5389035E+00 9.4710975E+05 
2.5469999E+00 9.6875631E+05 
2.5550961E+00 9.5280025E+05 
2.5631924E+00 9.4576569E+05 
2.5712886E+00 9.4701550E+05 
2.5793848E+00 9.2628206E+05 
2.5874813E+00 9.1420788E+05 
2.5955775E+00 9.1001188E+05 
2.6036737E+00 9.0779469E+05 
2.6117699E+00 9.5675775E+05 
2.6198661E+00 9.2619694E+05 
2.6279626E+00 8.9396856E+05 
2.6360588E+00 9.1964375E+05 
2.6441550E+00 9.2051625E+05 
2.6522512E+00 8.9663081E+05 
2.6603475E+00 9.2852769E+05 
2.6684439E+00 9.2805650E+05 
2.6765401E+00 9.1315562E+05 
2.6846364E+00 9.4293594E+05 
2.6927326E+00 9.0605881E+05 
2.7008288E+00 9.3776006E+05 
2.7089252E+00 9.0839219E+05 
2.7170215E+00 8.8098281E+05 
2.7251177E+00 9.1278738E+05 
2.7332139E+00 9.1972106E+05 
2.7413104E+00 9.5194756E+05 
2.7494066E+00 9.4317950E+05 
2.7575028E+00 9.1106325E+05 
2.7655990E+00 8.9285588E+05 
2.7736952E+00 9.0384088E+05 
2.7817917E+00 8.6597562E+05 
2.7898879E+00 8.7879662E+05 
2.7979841E+00 9.2799738E+05 
2.8060803E+00 9.1833956E+05 
2.8141766E+00 9.0880531E+05 
2.8222730E+00 8.9747819E+05 
2.8303692E+00 8.8576738E+05 
2.8384655E+00 9.2437800E+05 
2.8465617E+00 9.3223762E+05 
2.8546579E+00 9.1096325E+05 
2.8627543E+00 9.0891544E+05 
2.8708506E+00 9.0374712E+05 
2.8789468E+00 9.0611712E+05 
2.8870430E+00 8.8750912E+05 
2.8951392E+00 9.0929925E+05 
2.9032357E+00 9.0852325E+05 
2.9113319E+00 9.0814775E+05 
2.9194281E+00 9.0679250E+05 
2.9275243E+00 8.7788681E+05 
2.9356205E+00 8.9765688E+05 
2.9437170E+00 8.9315300E+05 
2.9518132E+00 8.8967844E+05 
2.9599094E+00 8.8938488E+05 
2.9680057E+00 9.0568238E+05 
2.9761019E+00 9.1318062E+05 
2.9841983E+00 9.2071550E+05 
2.9922945E+00 8.9299400E+05 
3.0003908E+00 8.7180394E+05 
3.0084870E+00 9.0494975E+05 
3.0165832E+00 8.9527225E+05 
3.0246797E+00 9.0311150E+05 
3.0327759E+00 9.1293562E+05 
3.0408721E+00 8.9504850E+05 
3.0489683E+00 9.0476338E+05 
3.0570645E+00 8.8784150E+05 
3.0651610E+00 9.3096288E+05 
3.0732572E+00 9.5620606E+05 
3.0813534E+00 9.1057781E+05 
3.0894496E+00 8.5490300E+05 
3.0975459E+00 8.7058644E+05 
3.1056423E+00 9.1621362E+05 
3.1137385E+00 9.1405150E+05 
3.1218348E+00 8.7277031E+05 
3.1299310E+00 9.1421744E+05 
3.1380272E+00 9.3573688E+05 
3.1461236E+00 9.2631712E+05 
3.1542199E+00 9.1087712E+05 
3.1623161E+00 9.2535050E+05 
3.1704123E+00 9.2693219E+05 
3.1785085E+00 9.2561812E+05 
3.1866050E+00 9.2006081E+05 
3.1947012E+00 8.8801338E+05 
3.2027974E+00 8.8709544E+05 
3.2108936E+00 9.0402219E+05 
3.2189898E+00 9.1494094E+05 
3.2270863E+00 9.2345056E+05 
3.2351825E+00 9.1590388E+05 
3.2432787E+00 9.2255000E+05 
3.2513750E+00 9.2499412E+05 
3.2594714E+00 9.1121506E+05 
3.2675676E+00 9.3965838E+05 
3.2756639E+00 9.4690425E+05 
3.2837601E+00 8.7690500E+05 
3.2918563E+00 9.0988925E+05 
3.2999527E+00 8.7399869E+05 
3.3080490E+00 8.7744806E+05 
3.3161452E+00 8.8285500E+05 
3.3242414E+00 9.1495575E+05 
3.3323376E+00 8.7700006E+05 
3.3404341E+00 9.5474131E+05 
3.3485303E+00 9.1233806E+05 
3.3566265E+00 9.1197575E+05 
3.3647227E+00 9.4078075E+05 
3.3728189E+00 8.9118694E+05 
3.3809154E+00 9.0031488E+05 
