Q(1/nm) MG3_norm_minus_branco1_norm.dat 
1.3431242E-01 1.8607842E+07 
1.4240868E-01 1.4887416E+07 
1.5050495E-01 1.2211048E+07 
1.5860121E-01 9.9040920E+06 
1.6669747E-01 8.1500185E+06 
1.7479375E-01 7.0393565E+06 
1.8289001E-01 6.1666395E+06 
1.9098628E-01 5.3020290E+06 
1.9908255E-01 4.6615395E+06 
2.0717882E-01 4.0692902E+06 
2.1527508E-01 3.6887955E+06 
2.2337136E-01 3.2384045E+06 
2.3146760E-01 2.9972802E+06 
2.3956388E-01 2.7192950E+06 
2.4766015E-01 2.4831175E+06 
2.5575641E-01 2.2623320E+06 
2.6385269E-01 2.1417598E+06 
2.7194893E-01 2.0313546E+06 
2.8004521E-01 1.8247230E+06 
2.8814149E-01 1.6945792E+06 
2.9623777E-01 1.7059382E+06 
3.0433401E-01 1.6648075E+06 
3.1243026E-01 1.5496228E+06 
3.2052654E-01 1.5658345E+06 
3.2862282E-01 1.5189301E+06 
3.3671910E-01 1.3958118E+06 
3.4481534E-01 1.3286219E+06 
3.5291159E-01 1.2623184E+06 
3.6100787E-01 1.2067319E+06 
3.6910415E-01 1.2090808E+06 
3.7720042E-01 1.1433561E+06 
3.8529667E-01 1.1503616E+06 
3.9339295E-01 1.1073682E+06 
4.0148920E-01 1.1842625E+06 
4.0958548E-01 1.1622230E+06 
4.1768175E-01 1.1174968E+06 
4.2577800E-01 1.1285174E+06 
4.3387428E-01 1.0418198E+06 
4.4197056E-01 1.0660165E+06 
4.5006680E-01 1.0678631E+06 
4.5816308E-01 1.0293154E+06 
4.6625933E-01 9.9644756E+05 
4.7435561E-01 1.0182814E+06 
4.8245189E-01 1.0755425E+06 
4.9054813E-01 1.0329165E+06 
4.9864441E-01 9.9436912E+05 
5.0674069E-01 9.8936744E+05 
5.1483691E-01 1.0653789E+06 
5.2293324E-01 1.0580671E+06 
5.3102946E-01 9.9240331E+05 
5.3912574E-01 9.4233650E+05 
5.4722202E-01 9.4093400E+05 
5.5531824E-01 1.0347056E+06 
5.6341457E-01 9.4616088E+05 
