Q(1/nm) TTAB30045P_50_norm_minus_branco1_norm.dat 
1.4701964E+00 2.7538555E+06 
1.4782927E+00 2.7244358E+06 
1.4863889E+00 2.7112162E+06 
1.4944851E+00 2.6281628E+06 
1.5025815E+00 2.5829868E+06 
1.5106777E+00 2.5657955E+06 
1.5187740E+00 2.5607840E+06 
1.5268703E+00 2.5293542E+06 
1.5349665E+00 2.4565778E+06 
1.5430628E+00 2.4194665E+06 
1.5511590E+00 2.3798880E+06 
1.5592554E+00 2.3515138E+06 
1.5673516E+00 2.3292895E+06 
1.5754479E+00 2.3096752E+06 
1.5835441E+00 2.3044875E+06 
1.5916404E+00 2.2533272E+06 
1.5997367E+00 2.1972188E+06 
1.6078329E+00 2.1608318E+06 
1.6159292E+00 2.1224220E+06 
1.6240255E+00 2.0888000E+06 
1.6321217E+00 2.0718369E+06 
1.6402180E+00 2.0431059E+06 
1.6483142E+00 2.0425814E+06 
1.6564106E+00 1.9878255E+06 
1.6645068E+00 1.9630001E+06 
1.6726030E+00 1.9369871E+06 
1.6806993E+00 1.9463138E+06 
1.6887956E+00 1.9251999E+06 
1.6968919E+00 1.8512699E+06 
1.7049881E+00 1.8147938E+06 
1.7130843E+00 1.7958058E+06 
1.7211807E+00 1.7850642E+06 
1.7292769E+00 1.7550860E+06 
1.7373732E+00 1.7106991E+06 
1.7454695E+00 1.7127049E+06 
1.7535657E+00 1.6887036E+06 
1.7616620E+00 1.6693291E+06 
1.7697582E+00 1.6480238E+06 
1.7778546E+00 1.6227076E+06 
1.7859508E+00 1.6081089E+06 
1.7940470E+00 1.5959040E+06 
1.8021433E+00 1.5336894E+06 
1.8102396E+00 1.4966019E+06 
1.8183359E+00 1.4723746E+06 
1.8264321E+00 1.4572166E+06 
1.8345284E+00 1.4673105E+06 
1.8426247E+00 1.4453600E+06 
1.8507209E+00 1.4235191E+06 
1.8588172E+00 1.3689790E+06 
1.8669134E+00 1.3889934E+06 
1.8750098E+00 1.3469050E+06 
1.8831060E+00 1.3336155E+06 
1.8912022E+00 1.3103261E+06 
1.8992985E+00 1.2864416E+06 
1.9073948E+00 1.2633800E+06 
1.9154911E+00 1.2393175E+06 
1.9235873E+00 1.2152061E+06 
1.9316835E+00 1.1794456E+06 
1.9397799E+00 1.1842758E+06 
1.9478761E+00 1.1634170E+06 
1.9559724E+00 1.1337398E+06 
1.9640687E+00 1.1159451E+06 
1.9721649E+00 1.1027235E+06 
1.9802612E+00 1.0767720E+06 
1.9883574E+00 1.0542862E+06 
1.9964538E+00 1.0389552E+06 
2.0045500E+00 1.0387720E+06 
2.0126462E+00 1.0118841E+06 
2.0207424E+00 9.9087900E+05 
2.0288386E+00 9.8492869E+05 
2.0369351E+00 9.4504962E+05 
2.0450313E+00 9.3758175E+05 
2.0531275E+00 9.4331625E+05 
2.0612240E+00 9.3563362E+05 
2.0693202E+00 9.0278838E+05 
2.0774164E+00 8.5305419E+05 
2.0855126E+00 8.3567769E+05 
2.0936089E+00 8.2589925E+05 
2.1017051E+00 8.2681500E+05 
2.1098013E+00 8.1208875E+05 
2.1178977E+00 7.5662256E+05 
2.1259940E+00 7.4729862E+05 
2.1340902E+00 7.2035656E+05 
2.1421864E+00 7.3865556E+05 
2.1502829E+00 7.1481219E+05 
2.1583791E+00 6.7981806E+05 
2.1664753E+00 6.5856919E+05 
2.1745715E+00 6.5836150E+05 
2.1826677E+00 6.4531412E+05 
2.1907642E+00 6.3790631E+05 
2.1988604E+00 6.0284906E+05 
