Q(1/nm) CTAB100a_norm_minus_branco1_norm.dat 
1.4782927E+00 1.1825178E+06 
1.4863889E+00 1.1881918E+06 
1.4944851E+00 1.1662694E+06 
1.5025815E+00 1.1652736E+06 
1.5106777E+00 1.1953844E+06 
1.5187740E+00 1.2359904E+06 
1.5268703E+00 1.2041611E+06 
1.5349665E+00 1.2050849E+06 
1.5430628E+00 1.2167838E+06 
1.5511590E+00 1.1998602E+06 
1.5592554E+00 1.1942298E+06 
1.5673516E+00 1.1845674E+06 
1.5754479E+00 1.1679771E+06 
1.5835441E+00 1.1944330E+06 
1.5916404E+00 1.2130065E+06 
1.5997367E+00 1.2097889E+06 
1.6078329E+00 1.2153139E+06 
1.6159292E+00 1.1890630E+06 
1.6240255E+00 1.2182309E+06 
1.6321217E+00 1.2763555E+06 
1.6402180E+00 1.2535899E+06 
1.6483142E+00 1.1992650E+06 
1.6564106E+00 1.2024399E+06 
1.6645068E+00 1.2325516E+06 
1.6726030E+00 1.2198826E+06 
1.6806993E+00 1.2168900E+06 
1.6887956E+00 1.2284001E+06 
1.6968919E+00 1.2521192E+06 
1.7049881E+00 1.2218539E+06 
1.7130843E+00 1.1885614E+06 
1.7211807E+00 1.2083674E+06 
1.7292769E+00 1.2065136E+06 
1.7373732E+00 1.2236955E+06 
1.7454695E+00 1.2265248E+06 
1.7535657E+00 1.2298585E+06 
1.7616620E+00 1.1853642E+06 
1.7697582E+00 1.1953956E+06 
1.7778546E+00 1.2335266E+06 
1.7859508E+00 1.2096558E+06 
1.7940470E+00 1.2345140E+06 
1.8021433E+00 1.2271489E+06 
1.8102396E+00 1.2110794E+06 
1.8183359E+00 1.1879972E+06 
1.8264321E+00 1.1897294E+06 
1.8345284E+00 1.2122401E+06 
1.8426247E+00 1.2071330E+06 
1.8507209E+00 1.2245189E+06 
1.8588172E+00 1.1865908E+06 
1.8669134E+00 1.1665706E+06 
1.8750098E+00 1.1752656E+06 
1.8831060E+00 1.2090402E+06 
1.8912022E+00 1.2114234E+06 
1.8992985E+00 1.1860321E+06 
1.9073948E+00 1.1804945E+06 
1.9154911E+00 1.1789059E+06 
1.9235873E+00 1.1509485E+06 
1.9316835E+00 1.1574005E+06 
1.9397799E+00 1.1416136E+06 
1.9478761E+00 1.1414358E+06 
1.9559724E+00 1.1648824E+06 
1.9640687E+00 1.1481504E+06 
1.9721649E+00 1.1392785E+06 
1.9802612E+00 1.1027126E+06 
1.9883574E+00 1.1356160E+06 
1.9964538E+00 1.1276884E+06 
2.0045500E+00 1.1242036E+06 
2.0126462E+00 1.1022514E+06 
2.0207424E+00 1.1235009E+06 
2.0288386E+00 1.1353472E+06 
2.0369351E+00 1.1337829E+06 
2.0450313E+00 1.1043180E+06 
2.0531275E+00 1.0729270E+06 
2.0612240E+00 1.1152696E+06 
2.0693202E+00 1.0790382E+06 
2.0774164E+00 1.1079530E+06 
2.0855126E+00 1.0853252E+06 
2.0936089E+00 1.0576045E+06 
2.1017051E+00 1.0535586E+06 
2.1098013E+00 1.0869121E+06 
2.1178977E+00 1.0902811E+06 
2.1259940E+00 1.0917792E+06 
2.1340902E+00 1.0864099E+06 
2.1421864E+00 1.1111830E+06 
2.1502829E+00 1.0636426E+06 
2.1583791E+00 1.0548615E+06 
2.1664753E+00 1.0571914E+06 
2.1745715E+00 1.0516356E+06 
2.1826677E+00 1.0418798E+06 
2.1907642E+00 1.0397501E+06 
2.1988604E+00 1.0524489E+06 
2.2069566E+00 1.0832686E+06 
2.2150528E+00 1.0673464E+06 
2.2231493E+00 1.0549771E+06 
2.2312455E+00 1.0683195E+06 
2.2393417E+00 1.0316598E+06 
2.2474380E+00 1.0095764E+06 
2.2555342E+00 1.0381261E+06 
2.2636306E+00 9.8201581E+05 
2.2717268E+00 9.6773400E+05 
2.2798231E+00 1.0182254E+06 
2.2879193E+00 1.0256334E+06 
2.2960155E+00 1.0149639E+06 
2.3041120E+00 9.7066044E+05 
2.3122082E+00 1.0119098E+06 
2.3203044E+00 1.0169320E+06 
2.3284006E+00 9.9303250E+05 
2.3364968E+00 1.0116804E+06 
2.3445933E+00 1.0058912E+06 
2.3526895E+00 1.0309048E+06 
2.3607857E+00 9.7377269E+05 
2.3688819E+00 9.8075725E+05 
2.3769782E+00 9.9931662E+05 
2.3850746E+00 9.6259969E+05 
2.3931708E+00 9.4404000E+05 
2.4012671E+00 9.7538650E+05 
2.4093633E+00 9.9980025E+05 
2.4174595E+00 9.6260194E+05 
2.4255559E+00 9.5162131E+05 
2.4336522E+00 9.4871612E+05 
2.4417484E+00 9.5861381E+05 
2.4498446E+00 9.4923831E+05 
2.4579408E+00 9.7387806E+05 
2.4660373E+00 9.7184344E+05 
2.4741335E+00 9.5569000E+05 
2.4822297E+00 9.8147856E+05 
2.4903259E+00 9.3253138E+05 
2.4984221E+00 9.2335569E+05 
2.5065186E+00 9.7491694E+05 
2.5146148E+00 9.4301281E+05 
2.5227110E+00 8.9770075E+05 
2.5308073E+00 9.1942619E+05 
2.5389035E+00 9.1300862E+05 
2.5469999E+00 9.2219756E+05 
2.5550961E+00 9.4930612E+05 
2.5631924E+00 9.3328950E+05 
2.5712886E+00 9.3400888E+05 
2.5793848E+00 9.3468100E+05 
2.5874813E+00 9.3610606E+05 
2.5955775E+00 9.3318075E+05 
2.6036737E+00 9.1095419E+05 
2.6117699E+00 9.1516031E+05 
2.6198661E+00 9.4031656E+05 
2.6279626E+00 9.3555169E+05 
2.6360588E+00 8.9813281E+05 
2.6441550E+00 9.2930581E+05 
2.6522512E+00 9.3285581E+05 
2.6603475E+00 9.2326850E+05 
2.6684439E+00 9.1476269E+05 
2.6765401E+00 9.3492725E+05 
2.6846364E+00 9.3085644E+05 
2.6927326E+00 9.3833144E+05 
2.7008288E+00 9.1293775E+05 
2.7089252E+00 9.2152469E+05 
2.7170215E+00 8.8638550E+05 
2.7251177E+00 9.2435406E+05 
2.7332139E+00 9.4098656E+05 
2.7413104E+00 9.0286662E+05 
2.7494066E+00 8.7360531E+05 
2.7575028E+00 9.2030719E+05 
2.7655990E+00 9.3220756E+05 
2.7736952E+00 9.1346394E+05 
2.7817917E+00 9.2211231E+05 
2.7898879E+00 9.1453206E+05 
2.7979841E+00 9.5074812E+05 
2.8060803E+00 9.3287881E+05 
2.8141766E+00 9.3117981E+05 
2.8222730E+00 8.9883312E+05 
2.8303692E+00 9.0647638E+05 
2.8384655E+00 9.1512588E+05 
2.8465617E+00 9.2160550E+05 
2.8546579E+00 9.4899950E+05 
2.8627543E+00 9.1199044E+05 
2.8708506E+00 8.8608206E+05 
2.8789468E+00 9.0123481E+05 
2.8870430E+00 9.3361469E+05 
2.8951392E+00 9.2772888E+05 
2.9032357E+00 9.0553862E+05 
2.9113319E+00 9.0072731E+05 
2.9194281E+00 8.9523869E+05 
2.9275243E+00 9.0799000E+05 
2.9356205E+00 9.3277481E+05 
2.9437170E+00 9.0590706E+05 
2.9518132E+00 8.8792056E+05 
2.9599094E+00 9.0761019E+05 
2.9680057E+00 8.9508331E+05 
2.9761019E+00 8.7945894E+05 
2.9841983E+00 8.9953544E+05 
2.9922945E+00 9.2506762E+05 
3.0003908E+00 8.7996375E+05 
3.0084870E+00 9.2014731E+05 
3.0165832E+00 9.1608769E+05 
3.0246797E+00 8.7796731E+05 
3.0327759E+00 9.3136162E+05 
3.0408721E+00 9.3859475E+05 
3.0489683E+00 9.3551362E+05 
3.0570645E+00 9.1032781E+05 
3.0651610E+00 8.9464162E+05 
3.0732572E+00 9.2494700E+05 
3.0813534E+00 8.8625731E+05 
3.0894496E+00 9.0290762E+05 
3.0975459E+00 8.9125569E+05 
3.1056423E+00 8.8661862E+05 
3.1137385E+00 8.7540831E+05 
3.1218348E+00 9.2554388E+05 
3.1299310E+00 8.7279888E+05 
3.1380272E+00 9.1915594E+05 
3.1461236E+00 9.0607244E+05 
3.1542199E+00 8.9899531E+05 
3.1623161E+00 9.3424162E+05 
3.1704123E+00 9.0065800E+05 
3.1785085E+00 9.1799550E+05 
3.1866050E+00 8.8663088E+05 
3.1947012E+00 9.1878694E+05 
3.2027974E+00 9.0353544E+05 
3.2108936E+00 8.9763931E+05 
3.2189898E+00 8.9161856E+05 
3.2270863E+00 9.1383112E+05 
3.2351825E+00 9.3328744E+05 
3.2432787E+00 9.0879994E+05 
3.2513750E+00 9.2891131E+05 
3.2594714E+00 9.0716231E+05 
3.2675676E+00 8.7327888E+05 
3.2756639E+00 8.5382606E+05 
3.2837601E+00 8.9709125E+05 
3.2918563E+00 8.8615150E+05 
3.2999527E+00 8.8181406E+05 
3.3080490E+00 8.7365450E+05 
3.3161452E+00 8.9606394E+05 
3.3242414E+00 8.7502812E+05 
3.3323376E+00 8.8255344E+05 
3.3404341E+00 8.7229331E+05 
3.3485303E+00 8.6935062E+05 
3.3566265E+00 8.7812650E+05 
3.3647227E+00 9.2998731E+05 
3.3728189E+00 9.2606819E+05 
3.3809154E+00 8.8315062E+05 
3.3890116E+00 8.9555575E+05 
3.3971078E+00 9.1915231E+05 
3.4052041E+00 8.9683938E+05 
3.4133003E+00 8.9338794E+05 
3.4213967E+00 8.7600038E+05 
3.4294930E+00 8.8877175E+05 
3.4375892E+00 9.0818588E+05 
3.4456854E+00 8.8314600E+05 
3.4537816E+00 8.9671569E+05 
3.4618781E+00 9.1953788E+05 
3.4699743E+00 9.5022825E+05 
3.4780705E+00 9.1160506E+05 
3.4861667E+00 8.9254712E+05 
3.4942629E+00 8.9047550E+05 
3.5023594E+00 8.9989019E+05 
3.5104556E+00 8.8646969E+05 
3.5185518E+00 8.6123625E+05 
3.5266480E+00 8.9240975E+05 
3.5347443E+00 8.8099875E+05 
3.5428407E+00 8.6201356E+05 
3.5509369E+00 9.0524181E+05 
3.5590332E+00 8.5699781E+05 
3.5671294E+00 8.7451981E+05 
3.5752256E+00 9.1443988E+05 
3.5833220E+00 8.6698600E+05 
3.5914183E+00 8.5162662E+05 
3.5995145E+00 8.5931431E+05 
3.6076107E+00 8.4806906E+05 
3.6157069E+00 8.8138156E+05 
3.6238034E+00 8.7289269E+05 
3.6318996E+00 8.7460719E+05 
3.6399958E+00 8.7548506E+05 
3.6480920E+00 8.6373738E+05 
3.6561882E+00 8.6948844E+05 
3.6642847E+00 8.6090631E+05 
3.6723809E+00 8.4987094E+05 
3.6804771E+00 8.5906112E+05 
3.6885734E+00 9.2709431E+05 
3.6966696E+00 9.4217288E+05 
3.7047660E+00 8.6943362E+05 
3.7128623E+00 8.5202150E+05 
3.7209585E+00 8.6670931E+05 
3.7290547E+00 8.6726006E+05 
3.7371509E+00 8.6409038E+05 
3.7452474E+00 8.6634581E+05 
3.7533436E+00 9.0318875E+05 
3.7614398E+00 8.8120631E+05 
3.7695360E+00 8.7638669E+05 
3.7776325E+00 8.4013188E+05 
3.7857287E+00 9.1242725E+05 
3.7938249E+00 9.0110906E+05 
3.8019211E+00 8.7139450E+05 
3.8100173E+00 8.7296525E+05 
3.8181138E+00 8.4625394E+05 
3.8262100E+00 8.7416850E+05 
3.8343062E+00 8.7474462E+05 
3.8424025E+00 8.8005869E+05 
3.8504987E+00 8.7158162E+05 
3.8585951E+00 8.4030688E+05 
3.8666914E+00 8.4202662E+05 
3.8747876E+00 8.6477600E+05 
3.8828838E+00 8.6376625E+05 
3.8909800E+00 8.5700712E+05 
3.8990765E+00 8.6824794E+05 
3.9071727E+00 8.1651081E+05 
3.9152689E+00 8.4919288E+05 
3.9233651E+00 8.6955969E+05 
3.9314613E+00 8.7135331E+05 
3.9395578E+00 8.3085619E+05 
3.9476540E+00 8.5863981E+05 
3.9557502E+00 8.2640000E+05 
3.9638464E+00 8.2721869E+05 
3.9719427E+00 8.2750675E+05 
3.9800391E+00 8.3453294E+05 
3.9881353E+00 8.0713562E+05 
3.9962316E+00 8.2069138E+05 
4.0043278E+00 8.4341175E+05 
4.0124240E+00 8.0516544E+05 
4.0205202E+00 8.4247056E+05 
4.0286169E+00 8.0362038E+05 
4.0367126E+00 8.2447069E+05 
4.0448093E+00 8.5948981E+05 
4.0529051E+00 8.4366075E+05 
4.0610018E+00 8.2203306E+05 
4.0690980E+00 8.1670912E+05 
4.0771942E+00 8.4462169E+05 
4.0852904E+00 8.2600044E+05 
4.0933867E+00 8.5648838E+05 
4.1014833E+00 8.3297019E+05 
4.1095791E+00 8.1745662E+05 
4.1176758E+00 8.2918775E+05 
4.1257715E+00 8.1479550E+05 
4.1338682E+00 8.6754844E+05 
4.1419644E+00 8.3951269E+05 
4.1500607E+00 7.7892194E+05 
4.1581569E+00 7.9335119E+05 
4.1662531E+00 8.3295038E+05 
4.1743493E+00 8.3487638E+05 
4.1824455E+00 8.6938156E+05 
4.1905417E+00 8.4440081E+05 
4.1986384E+00 8.1949162E+05 
4.2067347E+00 8.3447031E+05 
4.2148309E+00 8.1514181E+05 
4.2229271E+00 8.4714469E+05 
4.2310233E+00 8.5988575E+05 
4.2391195E+00 8.3302256E+05 
4.2472157E+00 8.5727494E+05 
4.2553120E+00 8.5607119E+05 
4.2634082E+00 8.5137531E+05 
4.2715044E+00 8.8551525E+05 
4.2796011E+00 8.6006938E+05 
4.2876973E+00 8.2976975E+05 
4.2957935E+00 8.4821119E+05 
4.3038898E+00 9.0462231E+05 
4.3119860E+00 8.8634669E+05 
4.3200822E+00 8.7541738E+05 
4.3281784E+00 8.9411031E+05 
4.3362746E+00 8.7703469E+05 
4.3443708E+00 8.6095675E+05 
4.3524671E+00 8.7573844E+05 
4.3605638E+00 8.9247181E+05 
4.3686600E+00 8.6741112E+05 
4.3767562E+00 9.0119188E+05 
4.3848524E+00 8.8725444E+05 
4.3929486E+00 8.4307400E+05 
4.4010448E+00 9.0896956E+05 
4.4091411E+00 8.9316144E+05 
4.4172373E+00 8.8539438E+05 
4.4253335E+00 8.9795025E+05 
